iter	Passed	Remaining
0	149	149336
1	152	75966
2	162	54116
3	171	42595
4	183	36573
5	191	31696
6	201	28628
7	206	25594
8	211	23340
9	220	21847
10	231	20782
11	239	19702
12	247	18781
13	256	18044
14	260	17105
15	263	16224
16	268	15540
17	277	15137
18	283	14637
19	287	14102
20	297	13866
21	304	13528
22	314	13344
23	317	12893
24	323	12597
25	331	12404
26	339	12217
27	349	12127
28	356	11941
29	363	11744
30	369	11551
31	374	11334
32	381	11180
33	390	11094
34	396	10939
35	407	10910
36	410	10693
37	418	10605
38	428	10546
39	435	10460
40	447	10473
41	454	10358
42	458	10200
43	463	10072
44	471	10003
45	480	9954
46	487	9888
47	495	9821
48	501	9739
49	510	9700
50	50	533	9951	51	540	9852	529	9455
53	538	9438
54	547	9402
55	556	9373
56	562	9303
57	569	9253
58	575	9184
59	59	598	9360	60	609	9361	61	617	9362	62	623	9263	616	9009
64	626	9016
65	633	8970
66	643	8962
67	647	8876
68	656	8864
69	662	8805
70	668	8743
71	678	8740
72	685	8700
73	693	8684
74	705	8701
75	713	8674
76	723	8673
77	730	8630
78	740	8628
79	748	8604
80	755	8576
81	765	8568
82	768	8494
83	772	8427
84	779	8389
85	789	8391
86	798	8375
87	806	8357
88	815	8348
89	822	8320
90	829	8284
91	842	8313
92	847	8264
93	851	8206
94	856	8161
95	863	8134
96	869	8092
97	876	8070
98	883	8036
99	888	8000
100	895	7973
101	900	7925
102102	924	80103103	933	80104104	940	80105	934	7884
106106	956	79107107	963	79108	957	7826
109	967	7829
110	973	7798
111111	998	79112112	1008	7918
113	1017	7907
114	1022115	10115	1033116	1027	7752
117	10117	1055118	10118	1069119	10119	1081120	10120	1090121	10121	1101122	10122	1110	7920
123	1119124	11124	1130	7914
125	1140	7912
126	1147	7891
127	1155	7871
128	1167	7880
129	1177	7880
130	1182	7841
131	1188132	11132	1194133	11133	1206	7794
134	1212135	12135	1216136	1207	7608
137	1217	7605
138	1227	7605
139	1237	7599
140	1249	7610
141	1256	7593
142	1266	7587
143	1273	7569
144	1280	7549
145	1287	7531
146	1295	7516
147	1300	7487
148	1307	7466
149	1316	7461
150	1322	7434
151	1333	7437
152	1339	7414
153	1351	7424
154	1355	7389
155	1362	7371
156	1369	7352
157	1376	7337
158	1382	7314
159	1391	7304
160	1397	7280
161	1407	7280
162	1412	7253
163	1418	7229
164	1426	7216
165	1437	7222
166	1445	7208
167	1449	7176
168	1461	7187
169	1471	7183
170	1477	7163
171	1484	7147
172	1490	7124
173	1500	7122
174	1508	7112
175	1516	7098
176	1521	7075
177	1530	7069
178	1538	7058
179	1549	7056
180	1562	7067
181	1568	7048
182	1579	7052
183	1591	7058
184	1597	7039
185	1605	7026
186	1615	7023
187	1622	7009
188	1631	7002
189	1641	6999
190	1650	6991
191	1661	6992
192	1668	6975
193	1672	6946
194	1678	6929
195	1682	6903
196	1691	6893
197	1697	6875
198	1704	6860
199	1709	6839
200	1718	6831
201	1734	6851
202	1742	6842
203	1751	6833
204	1759	6822
205	1762	6794
206	1766	6768
207	1772	6750
208	1782	6747
209	1788	6729
210	1797	6721
211	1800	6691
212	1807	6679
213	1816	6671
214	1821	6651
215	1830	6645
216	1835	6622
217	1844	6616
218	1849	6595
219	1856	6581
220	1864	6570
221	1869	6550
222	1877	6542
223	1883	6526
224	1891	6516
225	1897	6498
226	1900	6470
227	19227	1921228	19228	1929229	19229	1938230	19230	1948231	19231	1955232	19232	1963233	19233	1974	6463
234	1983235	19235	1991236	19236	1994237	1988	6366
238	1995	6354
239	2007	6355
