iter	Passed	Remaining
0	147	147312
1	150	75177
2	157	52244
3	165	41095
4	172	34247
5	175	29154
6	181	25799
7	188	23369
8	193	21265
9	199	19723
10	203	18318
11	210	17300
12	216	16418
13	220	15563
14	227	14945
15	237	14584
16	239	13856
17	245	13376
18	251	12996
19	256	12547
20	260	12131
21	267	11908
22	311	13242
23	332	13507
24	352	13766
25	379	14219
26	394	14226
27	417	14490
28	427	14299
29	433	14025
30	438	13704
31	446	13495
32	453	13288
33	460	13081
34	465	12826
35	471	12631
36	478	12449
37	483	12250
38	488	12048
39	494	11866
40	500	11711
41	505	11537
42	512	11396
43	519	11286
44	526	11170
45	530	11003
46	534	10845
47	539	10707
48	544	10558
49	548	10429
50	555	10334
51	562	10262
52	566	10122
53	572	10035554	578	993555	580	9780
556	589	975457	591	9612
558	599	9559559	603	946160	606	9335
661	615	9309662	619	9220663	624	9136664	631	9084665	637	9018666	642	8942667	646	8854668	653	8823669	658	875370	660	8646
771	669	863172	672	8535
73	679	8499
74	684	8441
75	690	8392
76	696	8350
77	701	8296
78	708	8255
79	713	8206
80	721	8181
81	727	8149
82	735	8120
83	743	8111
84	749	8069
85	756	8037
86	761	7987
87	766	7939
88	770	7886
89	777	7856
90	786	7852
91	794	7842
92	798	7792
93	807	7780
94	813	7750
95	821	7736
96	828	7710
97	832	7662
98	838	7628
99	846	7619
100	853	75910101	862	7593
102	868	75610103	876	7554
104	882	7526
105	892	7530
106	898	7497
107	905	7477
108	915	7482
109	922	7461
110	927	7431
111	932	7395
112	942	7398
113	946	7357
114	953	7337
115	957	7297
116	968	7307
117	973	7276
118	978	7240
119	987	7244
120	994	7226
121	1003	7221
122	1008	7189123	1022	7221
124	1033	7235
125	1044	7242
126	1051	7229
127	1062	7240
128	1069	7220
129	1079	7222
130	1091	7241
131	1100	7239
132	1111	7248
133	1121	7244
134	1127	7222
135	1131	7186
136	1141	7189
137	1145	7156
138	1151	7133
139	1164	7152
140	1173	7147
141	1180	7133
142	1187	7118
143	1195	7104
144	1208	7125
145	1215	7108
146	1221	7090
147	1227	7067
148	1234	7048
149	1240	7029
150	1245	7003
151	1250	6978
152	1255	6948
153	1260	6923
154	1268	6915
155	1274	6893
156	1280	6873
157	1288	6867
158	1297	6863
159	1306	6859
160	1311	6832
161	1319	6825
162	1324	6801
163	1328	6773
164	1334	6753
165	1342	6744
166	1350	6737
167	1357	6722
168	1366	6717
169	1370	6691
170	1377	6678
171	1384	6666
172	1391	6651
173	1399	6643
174	1406	6629
175	1413	6619
176	1421	6608
177	1425	6584
178	1435	6586
179	1443	6573
180	1450	6561
181	1455	6541
182	1465	6542
183	1471	6527
184	1476	6506
185	1484	6496
186	1490	6480
187	1494	6456
188	1501	6443
189	1507	6427
190	1518	6429
191	1524	6413
192	1531	6405
193	1535	6380
194	1542	6367
195	1549	6354
196	1552	6327
197	1557	6307
198	1564	6297
199	1569	6276
200	1574	6259
201	1584	6260
202	1591	6248
203	1600	6244
204	1608	6238
205	1617	6236
206	1628	6239
207	1635	6228
208	1641	6213
209	1654	6223
210	1659	6203
211	1667	6196
212	1671	6175
213	1681	6177
214	1686	6158
215	1694	6149
216	1702	6144
217	1707	6126
218	1715	6119
219	1720	6098
220	1728	6094
221	1734	6078
222	1740	6063
223	1745	6045
224	1751	6031
225	1757	6018
226	1763	6006
227	1769	5990
228	1775	5978
229	1783	5970
230	1788	5954
231	1793	5936
232	1799	5922
233	1804	5908
234	1813	5902
235	1818	5887
236	1827	5882
237	1832	5866
238	1836	5846
239	1842	5833
240	1847	5817
241	1851	5798
242	1858	5788
243	1863	5774
244	1869	5760
245	1875	5748
246	1878	5727
247	1883	5712
248	1890	5703
249	1895	5686
250	1904	5682
251	1911	5673
252	1916	5658
253	1925	5654
254	1930	5641
255	1938	5633
256	1947	5630
257	1956	5627
258	1964	5621
259	1976	5625
260	1987	5626
261	1992	5611
262	2002	5611
263	2009	5602
264	2014	5586
265	2022	5581
266	2029	5572
267	2034	5557
268	2041	5548
269	2047	5535
270	2054	5526
271	2059	5513
272	2064	5497
273	2072	5491
274	2079	5482
275	2086	5472
276	2092	5462
277	2098	5450
278	2106	5442
279	2111	5430
280	2118	5421
281	2125	5411
282	2130	5396
283	2138	5390
284	2145	5381
285	2150	5368
286	2158	5361
287	2165	5352
288	2171	5341
289	2176	5328
290	2181	5316
291	2188	5305
292	2192	5291
293	2198	5278
294	2203	5266
295	2207	5249
296	2212	5236
297	2220	5231
298	2226	5219
299	2237	5220
300	2242	5208
301	2248	5196
3302	2254	51863303	2263	5181
304	2272	5177
305	2276	5162
306	2280	51483307	2288	5141
308	2295	5133
309	2303	5126
310	2308	51143311	2317	5109
312	2322	50973313	2328	50873314	2336	5080
315	2344	5074
316	2351	5065
317	2357	5055
318	2365	5049
319	2371	5039
320	2380	5034
321	2385	5021
322	2388	5006
323	2394	4995
324	2400	49853325	2407	49773326	2418	4977
327	2428	4975
328	2438	4973
329	2446	4966
330	2456	4964
331	2466	4963
332	2473	4954
333	2481	4947
334	2489	4942
335	2498	4937
336	2506	4930
337	2514	4923
338	2523	4919
339	2530	4912
340	2539	4906
341	2544	4896
342	2553	4890
343	2559	4880
344	2566	4873
345	2573	4865
346	2582	4859
347	2586	4846
348	2592	4835
349	2599	4827
350	2607	4821
351	2613	4811
352	2622	4806
353	2629	4799
354	2635	4789
355	2644	4784
356	2650	4774
357	2657	4765
358	2665	4759
359	2671	4749
360	2678	4741
361	2683	4729
362	2689	4719
363	2696	4711
364	2701	4700
365	2707	4689
366	2714	4682
367	2720	4672
368	2728	4666
369	2735	4657
370	2742	4649
371	2747	4638
372	2754	4629
373	2760	4620
374	2766	4610
375	2772	4600
376	2779	4593
377	2788	4588
378	2795	4580
379	2799	4567
380	2807	4561
381	2812	4549
382	2819	4541
383	2824	4530
384	2828	4518
385	2833	4507
386	2840	4499
